SA2_2016_CODE,SA2_NAME,Employed_persons_working,Average_commuting_distance,Median_commuting_distance,interquartile_range_distance,standard_deviation_distance
404011090,Beverley,"6,228",12.78,9.76,12.55,13.67
404011091,Flinders Park,"4,282",11.33,8.15,13.07,11.52
404011092,Henley Beach,"2,925",8.51,5.28,10.24,10.8
404011093,Hindmarsh - Brompton,"9,582",13.16,10.05,11.98,13.45
404011094,Royal Park - Hendon - Albert Park,"2,933",14.66,11.66,15.64,14.15
404011095,Seaton - Grange,"2,109",8.8,5.46,11.3,10.26
404011096,West Lakes,"3,507",9.29,6.24,10.06,9.85
404011097,Woodville - Cheltenham,"7,631",13.21,10.05,13.23,14.72
404021098,Dry Creek - South,75,17.06,14.25,9.67,13.61
404021099,Largs Bay - Semaphore,"3,035",10.62,6.13,14.85,13.99
404021100,North Haven,"5,789",21.37,20.61,19.63,17.33
404021101,Port Adelaide,"11,621",17.21,15.26,15.63,16.1
404021102,The Parks,"18,497",16.82,13.41,11.51,15.45
404021103,Torrens Island,154,24.67,22.25,13.01,16.03
404031104,Adelaide Airport,"5,510",15.96,12.52,13.04,12.51
404031105,Fulham,465,7.05,4.34,8.76,8
404031106,Lockleys,"3,302",11.59,8.73,13.88,11.4
404031107,Plympton,"14,488",14.04,10.88,13.32,13.23
404031108,Richmond (SA),"18,358",14.89,11.07,13.47,14.48
404031109,West Beach,920,9.85,6.93,12.32,13.93
405011110,Barossa - Angaston,"2,745",18.98,10.17,23.86,22.84
405011111,Light,"2,833",18.66,13.17,27.45,20.91
405011112,Lyndoch,"1,293",16.5,11.8,23.03,18.8
405011113,Mallala,764,22.43,18.73,35.86,24.19
405011114,Nuriootpa,"3,707",17.1,7.48,24.92,21.24
405011115,Tanunda,"2,529",16.35,9.44,21.79,19.08
405021116,Clare,"2,377",17.52,4.17,19.07,29.4
405021117,Gilbert Valley,"1,675",23.72,12.24,34.33,31.69
405021118,Goyder,"1,328",30.28,9.32,49.21,41.71
405021119,Wakefield - Barunga West,"3,416",31.3,21.97,51.83,35.45
405031120,Jamestown,"1,714",23.97,11.59,37.07,35.15
405031121,Peterborough - Mount Remarkable,"1,636",20.4,1.76,29.44,34.84
405031122,Port Pirie,"5,757",15.43,3.23,3.11,40.8
405031123,Port Pirie Region,766,19.1,11.06,29.11,28.7
405041124,Kadina,"2,415",14.7,2.96,16.43,29.2
405041125,Moonta,"1,006",14.04,3.4,14.18,34.96
405041126,Wallaroo,949,12.81,4.64,9.91,28.83
405041127,Yorke Peninsula - North,"2,519",24.64,12.15,37.49,35.49
405041128,Yorke Peninsula - South,"1,158",23.62,12.96,28.65,40.44
406011129,Ceduna,"1,237",9.61,2.41,3.66,22.54
406011130,Eyre Peninsula,"2,186",22.36,8.19,40.52,28.18
406011131,Kimba - Cleve - Franklin Harbour,"1,898",20.59,1.73,32.43,33.92
406011132,Le Hunte - Elliston,"1,063",27.09,3.7,37.45,44.32
406011133,Port Lincoln,"6,695",6.83,2.75,3.01,14.94
406011134,West Coast (SA),"1,222",26.17,2.59,44.55,41.8
406011135,Western,21,34.67,32.2,49.5,39.27
406011136,Whyalla,"6,702",5.84,3.14,2.61,17.87
406011137,Whyalla - North,884,8.62,5.96,3.37,15.45
406021138,APY Lands,305,28.58,0,12,59.37
406021139,Coober Pedy,592,4.2,2.29,1.96,14.43
406021140,Quorn - Lake Gilles,752,49.33,40.2,76.63,53.34
406021141,Outback,307,52.64,0,106.88,81.42
406021142,Port Augusta,"5,112",11.18,3.75,5.88,22.76
406021143,Roxby Downs,"2,169",6.61,1.97,13.26,9.88
407011144,Goolwa - Port Elliot,"2,712",14.42,5.91,14.74,21.41
407011145,Kangaroo Island,"2,015",26.31,11.47,39.57,36.1
407011146,Strathalbyn,"1,994",15.79,4.58,25.71,19.81
407011147,Strathalbyn Region,"1,782",20.12,13.28,32.11,22.66
407011148,Victor Harbor,"4,266",13.97,4.96,14.73,20.77
407011149,Yankalilla,"1,532",16.57,6.34,27.34,22.13
407021150,Grant,"1,681",15.98,12.07,25.57,17.55
407021151,Kingston - Robe,"1,480",14.47,1.8,21.41,24.41
407021152,Millicent,"1,836",11.23,3.12,11.37,17.13
407021154,Naracoorte,"2,631",10.09,2.33,4.66,21.17
407021155,Naracoorte Region,"1,287",22.89,11.77,38.28,30.18
407021156,Penola,"1,586",22.87,13.79,38.25,24.55
407021157,Tatiara,"3,367",22.46,8.61,40.01,31.9
407021158,Wattle Range,"1,093",25.69,23.82,40.11,25.09
407021173,Mount Gambier - East,"7,375",7.81,3.3,3.49,14.89
407021174,Mount Gambier - West,"5,647",8.52,3.78,4.47,15.97
407031159,Barmera,"1,793",12.08,7.27,12.66,23.01
407031160,Berri,"2,704",16.7,11.82,18.15,30.66
407031161,Karoonda - Lameroo,"1,404",27.93,8.48,39.93,43.52
407031162,Loxton,"2,149",12.5,4.21,11.22,26.28
407031163,Loxton Region,557,25.81,15.61,38.56,35.18
407031164,Mannum,"1,732",25.59,13.52,41.07,31.66
407031165,Murray Bridge,"7,321",17.7,4.42,22.91,25.84
407031166,Murray Bridge Region,"1,690",26.36,17.01,26.99,26.95
407031167,Renmark,"2,214",11.53,4.51,12.99,22.42
407031168,Renmark Region,"1,518",13.95,9.43,13.69,23.41
407031169,The Coorong,"2,021",33.74,16.08,57.78,42.04
407031170,Waikerie,"2,290",21.49,6.27,23.27,35.6
501011001,Augusta,"1,928",18.64,10.16,28.42,26.65
501011002,Busselton,"9,464",13.2,5.49,8.3,26.22
501011003,Busselton Region,"4,007",14.44,6.32,19.21,25.81
501011004,Margaret River,"3,773",10.17,3.01,9.6,19.22
501021005,Australind - Leschenault,"2,785",11.29,6.07,9.91,21.24
501021007,Capel,"1,330",19.23,16.27,26.26,25.6
501021008,College Grove - Carey Park,"1,745",16.12,7.34,12.62,27.6
501021009,Collie,"4,477",36.23,23.16,63.57,39.97
501021010,Dardanup,"1,491",16.8,12.57,10.02,22.4
501021011,Davenport,"3,627",15.9,9.15,9.07,23.97
501021012,Eaton - Pelican Point,"2,026",10.95,6.48,9.23,21.22
501021014,Harvey,"3,818",26.68,18.01,34.32,31.12
501021015,East Bunbury - Glen Iris,"5,622",16.06,8.95,8.49,26.15
501021016,Waroona,"2,159",36.64,35.67,48.67,30.43
501021251,Dalyellup,"1,759",11.92,6.4,13.79,19.91
501021252,Gelorup - Stratham,501,10.67,4.67,13.75,19.84
501021253,South Bunbury - Bunbury,"10,369",14.79,8.52,10.58,24.98
501021254,Withers - Usher,438,10.76,4.74,10.57,21.43
501031017,Bridgetown - Boyup Brook,"2,295",19.71,6.96,22.43,32.78
501031018,Donnybrook - Balingup,"1,621",23.38,10.83,30.21,38.9
501031019,Manjimup,"2,715",11.98,2.99,9.18,23.8
501031020,Pemberton,"1,795",27.24,8.4,35.19,41.53
502011021,Dawesville - Bouvard,684,10.4,2.25,13.17,19.61
502011022,Falcon - Wannanup,"1,385",10.41,5.19,9.87,17.41
502011023,Greenfields,"4,464",13.92,8.36,12.95,17.37
502011024,Halls Head - Erskine,"2,953",10.76,5.22,9.96,16.93
502011025,Mandurah,"8,481",14.65,7.23,13.22,18.91
502011026,Mandurah - East,638,11.68,8.02,15.33,16.04
502011027,Mandurah - North,"2,142",10.97,5.83,11.76,16.07
502011028,Mandurah - South,"1,163",11.31,5.41,11.76,19.07
502011029,Pinjarra,"4,379",23.75,20.97,21.24,21.48
503011030,City Beach,"1,334",9.56,5.99,15.96,10.67
503011031,Claremont (WA),"5,963",14.12,11.97,15.33,14.13
503011032,Cottesloe,"2,577",12.09,9.14,16.06,14.69
503011033,Floreat,"1,749",9.64,5.72,12.6,13.82
503011034,Mosman Park - Peppermint Grove,"3,487",13.13,10.05,16.86,14.66
503011035,Nedlands - Dalkeith - Crawley,"20,204",16.09,13.31,15.1,14.43
503011036,Swanbourne - Mount Claremont,"4,368",15.32,12.55,17.39,15.43
503021037,Kings Park (WA),427,16.96,13.04,13.9,15.64
503021038,Mount Hawthorn - Leederville,"6,702",13.2,9.83,13.86,13.25
503021039,Mount Lawley - Inglewood,"6,453",10.94,7.68,12.74,12.38
503021040,North Perth,"3,069",10.75,7.97,12.26,12.17
503021041,Perth City,"135,094",16.84,13.28,14.26,15.93
503021042,Subiaco - Shenton Park,"22,760",15.19,11.78,14.19,14.71
503021043,Wembley - West Leederville - Glendalough,"10,322",14.6,11.42,14.63,13.56
504011044,Bassendean - Eden Hill - Ashfield,"5,918",15.14,12.09,15.7,14.83
504011045,Bayswater - Embleton - Bedford,"7,838",13.45,10.53,14.94,13.35
504011046,Maylands,"2,515",12.38,8.46,16.84,14.37
504011047,Morley,"7,875",10.72,7.34,11.01,12.02
504011048,Noranda,"1,192",8.31,5.53,10.24,10.8
504021049,Chidlow,"1,333",32.55,32.52,41.15,25.87
504021050,Glen Forrest - Darlington,955,8.63,3.48,12.21,12.37
504021051,Helena Valley - Koongamia,589,8.33,3.38,12.04,12.41
504021052,Malmalling - Reservoir,3,0,0,0,0
504021053,Mundaring,"2,931",13.97,8.1,18.33,16.11
504021054,Swan View - Greenmount - Midvale,"3,344",14.85,11.73,17.93,16.57
504031055,Avon Valley National Park,4,0,0,0,0
504031056,Ballajura,"2,350",9.69,6.68,12.7,12.2
504031057,Beechboro,"2,324",11.01,8.05,13.47,12.52
504031058,Bullsbrook,"1,895",23.19,20.7,29.9,19.48
504031059,Ellenbrook,"5,264",10.57,4.44,16.44,13.35
504031060,Gidgegannup,448,12.98,7.69,18.29,16.97
504031061,Hazelmere - Guildford,"5,706",22.39,19.97,17.82,18.99
504031062,Lockridge - Kiara,"1,330",12.48,9.91,15.59,14
504031063,Malaga,"15,830",16.82,13.64,14.9,14.73
504031064,Melaleuca - Lexia,0,0,0,0,0
504031065,Middle Swan - Herne Hill,"2,218",15.76,13.44,15.96,14.91
504031066,Midland - Guildford,"14,506",17.33,14.96,15.88,14.91
504031067,Stratton - Jane Brook,500,9.82,4.7,17.46,11.8
504031068,The Vines,"1,388",12.15,6.04,21.12,15.44
504031069,Walyunga National Park,0,0,0,0,0
505011070,Craigie - Beldon,"1,907",8.39,5.8,9.82,10.28
505011071,Currambine - Kinross,"2,464",8.44,5.46,9.44,11.13
505011072,Duncraig,"3,374",8.59,5.88,11.02,9.65
505011073,Greenwood - Warwick,"3,800",9.44,6.74,9.61,9.8
505011074,Heathridge - Connolly,"1,090",6.81,2.91,9.86,10.24
505011075,Hillarys,"4,613",10.3,7.89,11.77,10.41
505011076,Iluka - Burns Beach,624,4.53,0,1.7,14.8
505011077,Joondalup - Edgewater,"18,494",13.73,9.8,11.93,12.94
505011078,Kingsley,"2,068",8.82,6.32,11.68,10.87
505011079,Mullaloo - Kallaroo,"1,358",6.91,1.88,9.88,12.09
505011080,Ocean Reef,"1,513",8.01,4.62,10.86,9.55
505011081,Padbury,"1,531",10.98,6.97,13.93,12.66
505011082,Sorrento - Marmion,"1,514",7,3.32,10.66,10.26
505011083,Woodvale,"1,626",7.82,5.26,9.8,9.55
505021084,Balcatta - Hamersley,"11,417",15.59,11.2,14.76,15.76
505021085,Balga - Mirrabooka,"1,879",9.17,6.45,10.86,10.21
505021086,Dianella,"5,462",9.89,6.86,10.14,11.38
505021087,Herdsman,18,22.29,15.17,16.5,22.33
505021088,Innaloo - Doubleview,"4,111",10.4,7.04,12.24,10.9
505021089,Karrinyup - Gwelup - Carine,"5,325",10.44,7.94,11.93,11.66
505021090,Nollamara - Westminster,"1,593",8,5.2,9.77,9.88
505021091,Osborne Park Industrial,"21,889",18.11,14.89,16.62,14.98
505021092,Scarborough,"2,571",9.19,5.92,13.08,11.73
505021093,Stirling - Osborne Park,"7,369",14.59,11.64,14.72,13.53
505021094,Trigg - North Beach - Watermans Bay,"1,259",7.59,3.73,10.81,12.94
505021095,Tuart Hill - Joondanna,"1,530",8.88,5.9,11.38,10.53
505021096,Wembley Downs - Churchlands - Woodlands,"2,900",8.96,5.61,12.69,10.6
505021097,Yokine - Coolbinia - Menora,"2,928",9.71,6.23,10.63,13.7
505031098,Alexander Heights - Koondoola,"1,282",8.09,4.88,10.45,10.24
505031099,Butler - Merriwa - Ridgewood,"2,957",9.08,3.69,12.83,12.07
505031100,Carramar,"2,591",11.89,8.36,14.8,14.83
505031101,Clarkson,"3,417",10,5.79,10.22,12.26
505031102,Girrawheen,"1,116",7.8,5.14,8.72,8.32
505031103,Madeley - Darch - Landsdale,"18,259",15.26,11.99,12.21,15.12
505031104,Marangaroo,913,6.84,3.95,10.03,8.87
505031105,Mindarie - Quinns Rocks - Jindalee,"2,961",8.53,3.5,11.36,13.33
505031106,Neerabup National Park,164,19.67,16.38,21.96,16.57
505031107,Tapping - Ashby - Sinagra,"1,535",9.42,5.64,14.19,13.49
505031108,Wanneroo,"5,750",11.05,8.33,12.75,13.36
505031255,Alkimos - Eglinton,512,12.88,7.05,18.94,16.18
505031256,Carabooda - Pinjar,822,19.61,16.38,12.67,16.53
505031257,Two Rocks,550,16.45,10.28,25.63,17.98
505031258,Yanchep,"1,004",12.61,3.44,17.36,18.15
506011110,Armadale - Wungong - Brookdale,"6,140",14.1,10.24,15.36,14.7
506011111,Ashendon - Lesley,0,0,0,0,0
506011112,Camillo - Champion Lakes,680,10.73,6.88,14.31,14.07
506011113,Forrestdale - Harrisdale - Piara Waters,"3,017",13.32,9.7,14.6,13.72
506011114,Kelmscott,"3,669",12.75,8.63,13.36,14.95
506011115,Mount Nasura - Mount Richon - Bedfordale,"2,222",13.91,11.1,16.94,15.24
506011116,Roleystone,"1,077",8.25,2.98,12.78,11.51
506011117,Seville Grove,726,9.28,4.76,12.79,11.15
506021118,Belmont - Ascot - Redcliffe,"13,723",18.54,15.35,15.71,16.89
506021119,East Victoria Park - Carlisle,"5,696",13.05,10.29,14.58,15.25
506021120,Kewdale Commercial,"6,967",21.96,17.76,15.16,16.76
506021121,Perth Airport,"12,627",23.57,20.54,13.83,16.26
506021122,Rivervale - Kewdale - Cloverdale,"5,288",13.93,11.25,15.46,15.04
506021123,Victoria Park - Lathlain - Burswood,"12,695",16.12,13.8,13.9,14.29
506031124,Bentley - Wilson - St James,"12,642",15.53,12.83,13.49,14.4
506031125,Canning Vale - West,"1,733",7.84,4.63,9.4,13.06
506031126,Canning Vale Commercial,"14,466",19.38,14.98,17.8,16.23
506031127,Cannington - Queens Park,"9,254",14.11,10.6,12.73,13.92
506031128,Parkwood - Ferndale - Lynwood,"1,464",8.18,5.2,9.94,12.02
506031129,Riverton - Shelley - Rossmoyne,"2,390",8.41,4.94,9.38,12.6
506031130,Welshpool,"16,970",20.96,17.18,14.96,17.72
506031131,Willetton,"4,642",10.9,7.71,11.56,12.86
506041132,Beckenham - Kenwick - Langford,"3,674",13.1,9.51,13.28,13.77
506041133,Canning Vale - East,"3,936",13.35,8.1,16.28,16.14
506041134,Gosnells,"2,991",10.91,7.7,11.11,12.04
506041135,Huntingdale - Southern River,"1,887",7.8,4.24,10.92,10.18
506041136,Maddington - Orange Grove - Martin,"8,799",16.79,12.24,15.79,17.11
506041137,Thornlie,"2,895",8.26,4.81,10.53,10.18
506051138,Forrestfield - Wattle Grove,"6,459",18.03,14.7,17.02,17.06
506051139,High Wycombe,"2,051",13.13,8.7,18.02,15.36
506051140,Kalamunda - Maida Vale - Gooseberry Hill,"3,353",10.82,6.01,15.3,13.95
506051141,Lesmurdie - Bickley - Carmel,"2,542",10.89,6.24,16.41,13.74
506061142,Byford,"1,905",13.08,6.22,18.88,16.33
506061143,Mundijong,"1,586",18.73,14.96,26.74,20.15
506061144,Serpentine - Jarrahdale,"1,073",20.96,18.23,31.95,21.55
506071145,Como,"2,741",10.34,8.1,14.14,11.24
506071146,Manning - Waterford,"2,477",11,8.32,13.57,13.04
506071147,South Perth - Kensington,"7,802",13.4,11.13,14.12,13.93
507011148,Banjup,"2,095",11.35,7.35,16.82,13.72
507011150,Bibra Industrial,"8,929",19.89,17.82,19.8,16.7
507011151,Bibra Lake,3,17.81,12.5,27.75,19.44
507011152,Coogee,"1,076",12.52,7.33,20.92,15.26
507011153,Coolbellup,626,8.36,3.09,10.69,13.57
507011154,Hamilton Hill,"1,714",11.65,6.6,17.51,14.15
507011155,Henderson,"5,592",23.65,21.56,16.32,15.5
507011158,North Coogee,553,15.19,12.86,21.93,13.38
507011159,South Lake - Cockburn Central,"5,047",17.24,13.18,18.63,15.66
507011160,Spearwood,"2,397",12.19,7.49,17.65,13.03
507011161,Success - Hammond Park,"3,066",12.04,8.49,13.4,13.41
507011163,Yangebup,"1,004",12.39,8.37,18.71,13.19
507011259,Beeliar - Wattleup,"1,745",15,10.94,19.21,14.71
507011260,Jandakot,"7,096",21.37,16.67,18.09,17.6
507021164,East Fremantle,"1,773",10.73,5.7,15.13,13.75
507021165,Fremantle,"16,374",16.29,12.14,18.17,16.4
507021166,Fremantle - South,"4,179",11.96,7.02,15.82,14.84
507021167,O'Connor (WA),"4,322",16.94,13.54,20.18,16.27
507031169,Bertram - Wellard (West),"1,361",15.26,11.91,22.44,17
507031170,Calista,"1,215",15.03,12.32,18.85,15.11
507031172,Hope Valley - Postans,537,25.27,21.45,19.7,14.44
507031173,Kwinana Industrial,"5,547",24.09,19.4,18.65,18.81
507031174,Parmelia - Orelia,"2,541",15.62,12.94,20.65,14.75
507031261,Casuarina - Wandi,"1,347",20.72,18.55,21.11,18.66
507041175,Applecross - Ardross,"4,149",12.46,8.62,14.09,16.58
507041176,Bateman,599,9.15,6.85,11.57,9.42
507041177,Bicton - Palmyra,"3,031",11.97,6.66,15.03,20.08
507041178,Booragoon,"7,080",12.62,9.23,12.61,12.99
507041179,Bull Creek,"1,779",9.47,7.17,10.49,9.92
507041180,Leeming,"1,459",7.82,5.13,11.21,9.68
507041181,Melville,"6,884",13.06,9.5,14.81,14.07
507041182,Murdoch - Kardinya,"13,587",16.39,12.33,14.22,13.97
507041183,Willagee,777,10.59,6.21,13.2,15.27
507041184,Winthrop,694,6.16,2.26,8.98,9
507051185,Baldivis,"4,546",12.76,8.27,13.89,15.84
507051186,Cooloongup,"2,065",15.14,10.33,18.48,14.7
507051187,Port Kennedy,"2,774",12.14,7.39,10.5,15.5
507051188,Rockingham,"13,696",16.88,11.99,19.07,15.64
507051189,Rockingham Lakes,11,9.52,8.5,7,4.57
507051190,Safety Bay - Shoalwater,"1,413",9.73,4.8,11.96,12.98
507051191,Singleton - Golden Bay - Secret Harbour,"2,047",10,3.85,13.67,15.16
507051192,Waikiki,"1,256",8.72,4.11,8.64,12.6
507051193,Warnbro,"1,981",10.57,6.23,8.5,14.35
509011225,Albany,"9,485",9.26,5.19,6.27,14.88
509011226,Albany Region,"1,494",25.71,20.71,33.28,27.02
509011227,Bayonet Head - Lower King,404,8.27,5.42,9.73,14.46
509011228,Denmark,"1,845",12.29,4.86,14.45,18.56
509011229,Gnowangerup,"1,449",34.04,5.58,53.89,49.63
509011230,Katanning,"1,961",12.24,1.76,9.38,27.88
509011231,Kojonup,"1,738",22.87,4.63,34.23,34.98
509011232,Little Grove - Elleker,655,10.59,6.49,11.65,14.97
509011233,McKail - Willyung,"2,537",9.11,4.88,6.96,15.58
509011234,Plantagenet,"1,980",24.07,22.29,42.36,24.23
509011235,Stirling Range National Park,0,0,0,0,0
509021236,Chittering,"1,345",29.02,22.59,49.02,29.23
509021237,Cunderdin,"1,539",23.89,4.52,26.25,42.81
509021238,Dowerin,"1,688",25.04,2.39,29.83,44.14
509021239,Gingin - Dandaragan,"3,273",39.62,23.23,62.43,49.86
509021240,Merredin,"2,176",16.23,3.41,20.96,28.19
509021241,Moora,"2,341",29.94,6.31,45.69,44.7
509021242,Mukinbudin,"1,387",36.22,21.05,53.87,47.35
509021243,Northam,"4,317",24.69,4.89,33.32,33.1
509021244,Toodyay,855,20.5,9.61,27.06,29.58
509021245,York - Beverley,"1,498",17.42,3.29,20.91,30.46
509031246,Brookton,"1,426",24.96,1.9,30.72,45.29
509031247,Kulin,"2,139",34.17,10.25,52.26,49.52
509031248,Murray,"2,377",75.98,88.75,112.64,61.43
509031249,Narrogin,"2,222",18.85,2.24,14.31,41.13
509031250,Wagin,"1,791",22.85,1.67,28.13,43.05
510011262,Broome,"6,277",4.65,3.45,2.95,12.33
510011263,Derby - West Kimberley,"1,998",42.56,2.46,30.22,75.44
510011264,Halls Creek,493,74.58,2.82,165,84.08
510011265,Kununurra,"2,924",27.81,2.75,7.56,58.03
510011266,Roebuck,396,46.21,0,91.97,66.95
510021267,East Pilbara,"2,829",86.08,27.5,172.94,87.54
510021268,Newman,"1,666",10.19,2.24,1.5,38.24
510021269,Port Hedland,"4,023",11.8,7.49,9.15,20.96
510021270,South Hedland,"2,229",5.63,2.37,1.99,15.49
510031271,Ashburton (WA),"6,465",44.7,0,110.01,75.07
510031272,Karratha,"5,515",7.72,5.55,6.53,14.11
510031273,Roebourne,"3,997",33.18,21.08,33.77,38.83
511011274,Esperance,"4,885",6.69,3.94,4,13.02
511011275,Esperance Region,"1,651",43.85,27.2,70.32,54.26
511021276,Carnarvon,"1,929",5.79,3.01,4.86,18.16
511021277,Exmouth,"1,792",17.83,1.42,2.2,49.95
511031278,Boulder,"1,323",5.34,3.8,4.16,11.1
511031279,Kalgoorlie,"9,612",5.57,3.67,2.94,12.77
511031280,Kalgoorlie - North,"1,138",4.26,2.72,3.86,8.26
511031281,Kalgoorlie Airport,85,6.48,5.2,3.83,8.9
511031282,Kambalda - Coolgardie - Norseman,"2,525",55.46,52.58,84.94,47.64
511031283,Leinster - Leonora,"1,419",45.2,0.71,110,72.98
511031284,Trafalgar (WA),727,8.9,8.32,2.97,7.59
511041285,Geraldton,"11,414",7.67,5.45,4.61,12.72
511041286,Geraldton - East,"2,079",9.37,7.36,6.13,13.9
511041287,Geraldton - North,614,5.15,2.97,8.56,6.92
511041288,Geraldton - South,633,4.99,1.97,6.23,12.58
511041289,Irwin,994,9.06,2.45,5.02,18.9
511041290,Meekatharra,"1,147",64.95,1.71,153.55,89.3
511041291,Morawa,"1,834",39.12,8.4,58.75,57.51
511041292,Northampton - Mullewa - Greenough,"2,082",35.1,17.79,57.82,42.94
601011001,Bridgewater - Gagebrook,"1,607",17.2,12.55,16.05,18.85
601011002,Brighton - Pontville,865,15.01,11.86,21.53,16.01
601011003,Old Beach - Otago,348,9.81,5.88,14.93,14.55
601021004,Bellerive - Rosny,"4,174",12.56,8.9,12.99,13.73
601021005,Cambridge,"3,941",18.64,16.57,15,15.57
601021006,Geilston Bay - Risdon,268,11.73,6.36,18.44,16.91
601021007,Howrah - Tranmere,"1,051",9.59,5.21,14,12.79
601021008,Lindisfarne - Rose Bay,"1,430",11.74,8.35,15.06,15
601021009,Mornington - Warrane,"2,107",16.58,12.52,14.27,18.36
601021010,Risdon Vale,637,18.47,12.83,15.18,23.88
601021011,Rokeby,724,13.15,8.05,15.28,20.38
601021012,South Arm,340,9.06,1.22,14.88,13.99
601031013,Austins Ferry - Granton,507,13.69,10.52,17.58,16.13
601031014,Berriedale - Chigwell,660,11.87,8.96,12.07,14.66
601031015,Claremont (Tas.),"1,619",12.05,8.09,13.67,14.19
601031016,Derwent Park - Lutana,"5,045",16.39,11.27,15.74,17.32
601031017,Glenorchy,"4,703",13.22,8.82,14.79,16.98
601031018,Montrose - Rosetta,772,12.09,7.26,14.84,13.62
601031019,Moonah,"5,146",13.74,9.63,14.92,16.26
601031020,New Norfolk,"1,780",15.11,8.26,21.66,17.28
601031021,West Moonah,211,8.78,3.83,12.96,12.3
601041022,Kingston - Huntingfield,"4,579",12.95,8.61,15.92,15.78
601041023,Kingston Beach - Blackmans Bay,"1,200",8.98,2.16,12.02,18.86
601041024,Margate - Snug,"1,403",13.45,8.34,18.4,21.34
601041025,Mount Wellington,0,0,0,0,0
601041026,Taroona - Bonnet Hill,612,11.82,9.13,15.31,16.32
601051027,Hobart,"36,061",13.14,8.5,11.62,17.13
601051028,Lenah Valley - Mount Stuart,"1,735",11.21,7.8,14.03,13.86
601051029,Mount Nelson - Dynnyrne,558,10.24,8.08,13.67,11.78
601051030,New Town,"3,696",12.77,8.17,14.12,17.43
601051031,Sandy Bay,"5,382",11.39,7.89,11.65,16.59
601051032,South Hobart - Fern Tree,"1,528",11.26,8.26,13.03,13.63
601051033,West Hobart,741,7.42,1.94,8.99,16.8
601061034,Dodges Ferry - Lewisham,738,11.08,2.43,15.25,18.54
601061035,Sorell - Richmond,"2,347",16.12,13.24,20.81,19.32
602011036,Invermay,"3,071",12.99,6.67,9.79,20.21
602011037,Kings Meadows - Punchbowl,"3,110",12.48,6.56,8.96,21.2
602011038,Launceston,"14,971",11.71,5.46,8.65,21.51
602011039,Legana,811,12.81,9.59,15.39,19.98
602011040,Mowbray,"1,569",13.01,7.37,8.72,20.95
602011041,Newnham - Mayfield,"2,469",15.04,10.26,12.68,20.55
602011042,Newstead,"1,656",11.92,5.42,8.22,23.3
602011043,Norwood (Tas.),678,8.39,5.22,7.41,12.56
602011044,Prospect Vale - Blackstone,"2,002",12.6,7.97,12.41,14.77
602011045,Ravenswood,295,9.99,6.43,7.84,13.43
602011046,Riverside,"1,110",9.74,7.41,9.52,14.36
602011047,South Launceston,"2,002",10.76,5.07,7.87,19.82
602011048,Summerhill - Prospect,"1,169",10.75,5.53,8.13,18.68
602011049,Trevallyn,410,10.09,3.52,9.31,25.29
602011050,Waverley - St Leonards,971,16.27,8.41,13.4,26.92
602011051,West Launceston,290,5.73,1.98,5.94,14.7
602011052,Youngtown - Relbia,"1,062",13.76,7.89,9.85,24.05
602021053,Beauty Point - Beaconsfield,743,18.97,6.94,26.09,33.5
602021054,Deloraine,"2,064",18.12,10.13,27.17,22.47
602021055,Grindelwald - Lanena,898,14.09,10.52,22.19,19.18
602021056,Hadspen - Carrick,320,9.78,3.05,16.58,14.59
602021057,Westbury,"1,113",22.32,18.72,32.39,25.89
602031058,Dilston - Lilydale,512,20.92,12.88,29.75,32.75
602031059,George Town,"2,466",28.11,24.17,44.12,28.07
602031060,Longford,"1,413",16.51,13.06,20.23,21.84
602031061,Northern Midlands,"1,271",29.32,19.3,48.86,33.72
602031062,Perth - Evandale,"1,982",18.98,13.35,11.49,24.06
602031064,St Helens - Scamander,"1,681",20.12,7.81,22.14,33.98
602031099,Flinders and Cape Barren Islands,390,21.14,4.31,25.07,46.89
602031100,Scottsdale - Bridport,"2,235",17.48,5.8,25.03,25.98
603011065,Central Highlands,649,42.56,31.1,67.13,47.58
603011066,Derwent Valley,437,20.93,14.4,30.06,22.73
603011067,Southern Midlands,"1,081",24.36,13.1,39,31.86
603011068,Wilderness - East,12,58.14,4.88,120.56,69.73
603021069,Bruny Island - Kettering,620,17.5,7.38,27.89,22.67
603021070,Cygnet,782,10.66,4.37,16.11,15.24
603021071,Geeveston - Dover,"1,040",21.99,12.5,29.18,25.15
603021072,Huonville - Franklin,"2,404",15.61,11.15,22.19,17.9
603031073,Forestier - Tasman,706,22.11,12.72,27.06,28.74
603031074,Triabunna - Bicheno,"1,445",26.64,7.87,42.36,38.36
604011075,Acton - Upper Burnie,582,11.99,4.07,14.82,18.42
604011076,Burnie - Ulverstone Region,837,13.97,8.67,22.5,17.25
604011077,Burnie - Wivenhoe,"5,660",15.56,8.15,17.51,19.6
604011078,Parklands - Camdale,"2,919",14.4,7.03,16.66,17.35
604011079,Penguin - Sulphur Creek,806,12.44,8.25,17.22,16.17
604011080,Romaine - Havenview,650,14.58,7.7,16.41,18.2
604011081,Somerset,"1,000",12.37,9.01,11.24,15.6
604011082,Ulverstone,"3,376",12.91,6.18,16.67,16.55
604011083,West Ulverstone,561,10.7,4.4,17.58,14.16
604011084,Wynyard,"1,835",13.28,8.58,17.13,17.6
604021085,Devonport,"6,890",11.72,5.53,15.4,15.88
604021086,East Devonport,"1,544",14.05,6.77,13.96,21.81
